date,stress,individual_sleep,organizational_workload,organizational_control,ambient_temperature,ambient_humidity,ambient_precipitation,ambient_cloudcover,user,organizational_socialinteraction,stress_tolerance
2013-11-11,1,3,3,3,2,3,1,4,u1,2,3
2013-11-12,1,2,2,3,3,2,1,3,u1,1,3
2013-11-14,2,2,2,3,3,4,1,5,u1,2,3
2013-11-15,2,3,4,2,3,5,5,5,u1,1,3
2013-11-18,1,3,3,3,3,5,1,5,u1,2,3
2013-11-19,1,5,4,2,3,5,1,5,u1,3,3
2013-11-20,1,5,3,3,3,5,1,5,u1,2,3
2013-11-21,1,2,3,3,3,5,1,2,u1,1,3
2013-11-22,1,2,3,3,2,5,5,5,u1,2,3
2013-11-25,1,3,3,2,3,3,1,1,u1,5,3
2013-11-26,1,3,3,2,2,1,1,1,u1,2,3
2013-11-27,1,3,3,3,2,2,1,1,u1,1,3
2013-11-28,1,3,3,4,2,3,1,1,u1,3,3
2013-11-29,3,3,3,3,3,4,1,1,u1,1,3
2013-12-02,2,2,2,4,3,1,1,2,u1,3,3
2013-12-03,1,4,4,3,3,3,1,1,u1,1,3
2013-12-04,2,4,4,3,3,3,1,1,u1,2,3
2013-12-05,2,2,3,2,3,3,1,1,u1,1,3
2013-12-06,2,3,3,2,3,4,1,1,u1,3,3
2013-12-09,2,4,4,2,2,4,1,1,u1,3,3
2013-12-10,1,4,3,2,3,2,1,1,u1,5,3
2013-12-11,3,5,4,3,3,4,1,1,u1,4,3
2013-12-12,2,5,4,3,3,4,1,1,u1,3,3
2013-12-13,2,4,4,2,3,4,1,1,u1,4,3
2013-12-16,2,4,3,2,3,4,1,1,u1,4,3
2013-12-17,2,3,4,2,3,4,1,1,u1,1,3
2013-12-18,2,4,3,3,3,4,1,1,u1,3,3
2013-11-06,2,3,5,3,3,5,1,5,u2,3,1
2013-11-07,2,2,4,3,3,5,1,1,u2,4,1
2013-11-08,3,5,4,3,3,5,1,5,u2,2,1
2013-11-11,2,1,4,1,2,3,1,4,u2,1,1
2013-11-12,2,2,3,2,3,2,1,3,u2,3,1
2013-11-13,3,4,4,1,3,4,1,4,u2,3,1
2013-11-14,1,5,3,1,3,4,1,5,u2,3,1
2013-11-21,2,4,3,1,3,5,1,2,u2,3,1
2013-11-22,1,5,3,1,2,5,5,5,u2,2,1
2013-11-25,1,3,3,5,3,3,1,1,u2,3,1
2013-11-26,1,4,3,1,2,1,1,1,u2,5,1
2013-11-27,1,4,3,2,2,2,1,1,u2,1,1
2013-11-28,2,4,3,3,2,3,1,1,u2,2,1
2013-11-29,2,5,4,2,3,4,1,1,u2,4,1
2013-12-02,2,5,4,2,3,1,1,2,u2,3,1
2013-12-03,3,4,5,3,3,3,1,1,u2,1,1
2013-12-05,2,3,4,3,3,3,1,1,u2,3,1
2013-12-06,2,4,4,2,3,4,1,1,u2,1,1
2013-12-09,2,5,4,2,2,4,1,1,u2,3,1
2013-12-10,3,5,3,2,3,2,1,1,u2,2,1
2013-12-11,3,4,5,4,3,4,1,1,u2,3,1
2013-12-13,2,5,3,2,3,4,1,1,u2,4,1
2013-12-16,3,3,4,4,3,4,1,1,u2,3,1
2013-12-17,3,5,5,3,3,4,1,1,u2,2,1
