dataset,feature_nature,feature_category,feature_names,window_size,clf_name,clf_params,accuracy,f1,precision,recall
fbk,1st-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_prev_stress'],
      dtype='object')",1,RF,"{'n_estimators': 140, 'max_depth': 5, 'criterion': 'gini'}",0.7860262008733624,0.7831170415076913,0.786532312018762,0.7860262008733624
fbk,1st-order,individual,"Index(['individual_sleep', 'individual_stress_tolerance',
       'individual_prev_stress'],
      dtype='object')",1,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.7965065502183406,0.7928955517134912,0.7954632893847379,0.7965065502183406
fbk,1st-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction'],
      dtype='object')",1,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7799250328464332,0.7695683818244985,0.7734295003281897,0.7799250328464332
fbk,1st-order,organizational,"Index(['organizational_workload', 'organizational_control',
       'organizational_socialinteraction'],
      dtype='object')",1,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.7790748898678415,0.7709846094832431,0.7754163245802859,0.7790748898678415
fbk,1st-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_cloudcover',
       'ambient_weekday'],
      dtype='object')",1,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.6322412060301508,0.6148852102071781,0.6125897372550055,0.6322412060301508
fbk,1st-order,ambient,"Index(['ambient_temperature', 'ambient_humidity', 'ambient_precipitation',
       'ambient_cloudcover', 'ambient_weekday'],
      dtype='object')",1,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.6172361809045227,0.6069968226583541,0.6047001345016556,0.6172361809045227
fbk,1st-order,"['individual', 'organizational']","Index(['individual_sleep', 'organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'individual_stress_tolerance',
       'individual_prev_stress'],
      dtype='object')",1,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7654714850367024,0.7625207265125673,0.7661006767797287,0.7654714850367024
fbk,1st-order,"['individual', 'organizational']","Index(['individual_sleep', 'organizational_workload', 'organizational_control',
       'organizational_socialinteraction', 'individual_stress_tolerance',
       'individual_prev_stress'],
      dtype='object')",1,xGB,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.7520327498588367,0.7498077187862305,0.7517098779154894,0.7520327498588367
fbk,1st-order,"['individual', 'ambient']","Index(['individual_sleep', 'ambient_temperature', 'ambient_humidity',
       'individual_stress_tolerance', 'ambient_weekday',
       'individual_prev_stress'],
      dtype='object')",1,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.7240667748666821,0.7180191479355779,0.7208009590033824,0.7240667748666821
fbk,1st-order,"['individual', 'ambient']","Index(['individual_sleep', 'ambient_temperature', 'ambient_humidity',
       'ambient_precipitation', 'ambient_cloudcover',
       'individual_stress_tolerance', 'ambient_weekday',
       'individual_prev_stress'],
      dtype='object')",1,xGB,"{'n_estimators': 140, 'max_depth': 6, 'learning_rate': 0.05}",0.7179109668444238,0.7139432979822574,0.71398872765776,0.7179109668444238
fbk,1st-order,"['organizational', 'ambient']","Index(['organizational_workload', 'organizational_control',
       'ambient_temperature', 'ambient_humidity', 'ambient_precipitation',
       'ambient_cloudcover', 'organizational_socialinteraction',
       'ambient_weekday'],
      dtype='object')",1,RF,"{'n_estimators': 180, 'max_depth': 9, 'criterion': 'gini'}",0.6953155028827674,0.6925529989593103,0.6975737522054185,0.6953155028827674
fbk,1st-order,"['organizational', 'ambient']","Index(['organizational_workload', 'organizational_control',
       'ambient_temperature', 'ambient_precipitation', 'ambient_cloudcover',
       'organizational_socialinteraction', 'ambient_weekday'],
      dtype='object')",1,xGB,"{'n_estimators': 140, 'max_depth': 6, 'learning_rate': 0.05}",0.6693505765534914,0.6665765180203788,0.6666830978291844,0.6693505765534914
